Time	Time Code	Country Name	Country Code	Total greenhouse gas emissions (kt of CO2 equivalent)	Renewable energy consumption (% of total final energy consumption)	CO2 emissions (kt)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent) [EN.ATM.METH.AG.KT.CE]	Urban population (% of total population)
2016	YR2016	Iraq	IRQ	276850.006103516	0.94	142229.995727539	3030	3540	70.094
2016	YR2016	Ireland	IRL	66000	8.59	38819.9996948242	8920	15450	62.737
2016	YR2016	Isle of Man	IMN	..	1.96	..	..	..	52.343
2016	YR2016	Israel	ISR	86949.9969482422	3.98	64980.0033569336	950	580	92.256
2016	YR2016	Italy	ITA	409769.989013672	16.09	333339.996337891	11620	20820	69.855
2016	YR2016	Jamaica	JAM	9090.00015258789	11.07	7570.00017166138	280	310	55.098
2016	YR2016	Japan	JPN	1261869.99511719	6.39	1167790.0390625	7440	14600	91.457
2016	YR2016	Jordan	JOR	35259.9983215332	4.67	24819.9996948242	670	650	90.506
2016	YR2016	Kazakhstan	KAZ	259510.009765625	2.07	202149.993896484	8630	14440	57.264
2016	YR2016	Kenya	KEN	71639.9993896484	70.94	19110.0006103516	16820	28940	26.105
2016	YR2016	Kiribati	KIR	100.000001490116	46.49	70.0000002980232	0	10	52.45
2016	YR2016	Korea, Dem. People's Rep.	PRK	52060.001373291	22.04	30000	1350	3570	61.471
2016	YR2016	Korea, Rep.	KOR	694679.992675781	2.55	615880.004882813	4760	9210	81.562
2016	YR2016	Kosovo	XKX	..	26.52	..	..	..	..
2016	YR2016	Kuwait	KWT	131720.001220703	0.01	91550.0030517578	310	170	100
2016	YR2016	Kyrgyz Republic	KGZ	16190.0005340576	21.92	9699.99980926514	1650	3460	35.944
2016	YR2016	Lao PDR	LAO	26549.9992370605	51.7	15699.9998092651	2610	7330	33.736
2016	YR2016	Latvia	LVA	11399.9996185303	38.48	7150.00009536743	1760	1080	68.021
2016	YR2016	Lebanon	LBN	34049.9992370605	3.96	27809.9994659424	570	240	88.266
2016	YR2016	Lesotho	LSO	2359.99989509583	43.55	689.999997615814	510	790	27.317
2016	YR2016	Liberia	LBR	2309.99994277954	82.66	1409.9999666214	280	260	50.254
2016	YR2016	Libya	LBY	90209.9990844727	2.58	50950.0007629395	1310	1630	79.54
2016	YR2016	Liechtenstein	LIE	159.999996423721	55.82	150.000005960464	..	..	14.303
2016	YR2016	Lithuania	LTU	18899.9996185303	31.47	11199.9998092651	3240	1920	67.366
2016	YR2016	Luxembourg	LUX	9850.00038146973	13.5	8850.00038146973	220	440	90.46
2016	YR2016	Macao SAR, China	MAC	..	5.38	..	..	..	100
2016	YR2016	Madagascar	MDG	29559.9994659424	83.85	3180.0000667572	8570	14530	35.856
2016	YR2016	Malawi	MWI	8420.00007629395	78.69	1120.00000476837	3180	2740	16.506
