Time	Time Code	Country Name	Country Code	Net migration	Life expectancy at birth, total (years)	GDP per capita (current US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2016	YR2016	Micronesia, Fed. Sts.	FSM	-1348	71.595	3022.65362747328	22.526	75.9620132446289	33.35216255
2016	YR2016	Moldova	MDA	-51633	69.917	2879.3912909285	42.511	100	70.99999911
2016	YR2016	Monaco	MCO	416	..	174610.636971733	100	100	95.20817797
2016	YR2016	Mongolia	MNG	7470	69.865	3690.75671558111	68.297	89.8384094238281	22.2657705
2016	YR2016	Montenegro	MNE	-2111	76.4414634146341	7033.60489868635	66.141	100	69.88164684
2016	YR2016	Morocco	MAR	-57256	73.284	3132.94458007813	61.36	97.8000030517578	58.27123642
2016	YR2016	Mozambique	MOZ	77168	59.038	430.993168816685	34.926	26.2465209960938	7
2016	YR2016	Myanmar	MMR	-87935	65.685	1161.86177838933	30.082	55.5999984741211	16
2016	YR2016	Namibia	NAM	-8596	61.682	4614.88172099748	47.961	49.7000007629395	31.03334594
2016	YR2016	Nauru	NRU	-31	..	8719.36652643846	100	99.7128829956055	..
2016	YR2016	Nepal	NPL	-98016	68.776	880.224488097816	18.942	90.6999969482422	20.7
2016	YR2016	Netherlands	NLD	59528	81.5609756097561	46039.1059284098	90.635	100	90.4109589
2016	YR2016	New Caledonia	NCL	-2346	76.9317073170732	32286.9152902933	69.821	100	..
2016	YR2016	New Zealand	NZL	50012	81.6124390243903	40058.1961621466	86.4	100	86.5
2016	YR2016	Nicaragua	NIC	-23081	73.256	2079.44826647887	58.09	84.6401138305664	24.57183396
2016	YR2016	Niger	NER	14833	61.629	497.036133412676	16.29	17.271520614624	4.32275803
2016	YR2016	Nigeria	NGA	-54315	52.043	2144.77993839856	48.683	59.2999992370605	25.67
2016	YR2016	North Macedonia	MKD	-1164	75.4	5149.58907435906	57.563	100	72.15681447
2016	YR2016	Northern Mariana Islands	MNP	-852	..	24054.9156122269	91.443	100	..
2016	YR2016	Norway	NOR	26425	82.4073170731707	70460.5605323322	81.485	100	97.29820367
2016	YR2016	Oman	OMN	118472	77.916	17082.2061998982	82.5	100	76.84539047
2016	YR2016	Pakistan	PAK	-2290411	65.88	1468.82142077515	36.234	71.5502243041992	12.38544676
2016	YR2016	Palau	PLW	8	..	16743.376740009	78.775	100	..
2016	YR2016	Panama	PAN	10109	77.653	14382.2323819969	67.027	93.1647720336914	54
2016	YR2016	Papua New Guinea	PNG	28474	64.84	2332.69748030362	13.05	49.4000015258789	9.601538462
2016	YR2016	Paraguay	PRY	-16734	73.534	5759.04219789251	61.026	98.4000015258789	53.40412748
2016	YR2016	Peru	PER	80725	75.789	6163.79102629697	77.539	94.1999969482422	45.46174069
2016	YR2016	Philippines	PHL	79051	71.387	3038.1497339217	46.475	92.0665054321289	39.2
2016	YR2016	Poland	POL	-1967	77.8512195121951	12378.75943742	60.178	100	73.3007041
2016	YR2016	Portugal	PRT	-8128	81.1243902439025	19991.9724878805	64.086	100	70.42356709
2016	YR2016	Puerto Rico	PRI	-65824	80.27	30627.1634017011	93.602	100	68.6438072
2016	YR2016	Qatar	QAT	138455	80.433	58467.2355711087	99.015	100	95.12466217
2016	YR2016	Romania	ROU	-64002	75.209756097561	9404.34187358344	53.9	99.0999984741211	59.50395129
2016	YR2016	Russian Federation	RUS	373316	71.6512195121951	8704.8984375	74.164	100	73.09143462
2016	YR2016	Rwanda	RWA	-2605	65.737	728.434489970531	17.056	29.3700008392334	20
2016	YR2016	Samoa	WSM	-2772	72.54	4105.83446840571	18.681	99.623291015625	29.41173011
2016	YR2016	San Marino	SMR	344	..	43399.4583004844	96.91	100	..
2016	YR2016	Sao Tome and Principe	STP	-1786	67.492	1688.37530288509	71.092	69.3205184936523	28
2016	YR2016	Saudi Arabia	SAU	171429	77.064	19300.0500059245	83.401	99.9000015258789	74.87927469
2016	YR2016	Senegal	SEN	-24720	67.497	1290.75000394091	46.296	64.5	25.66476804
2016	YR2016	Serbia	SRB	5901	75.6878048780488	5765.20076202711	55.81	100	67.05684137
2016	YR2016	Seychelles	SYC	251	74.309756097561	15740.1303244742	55.831	100	56.51470815
2016	YR2016	Sierra Leone	SLE	4657	58.404	490.370588795141	41.228	20.2999992370605	11.77318438
2016	YR2016	Singapore	SGP	36498	82.8463414634146	56860.4132375207	100	100	84.45226789
2016	YR2016	Sint Maarten (Dutch part)	SXM	969	78.2926829268293	31616.6816992667	100	100	..
2016	YR2016	Slovak Republic	SVK	3682	77.1658536585366	16563.4404971229	53.806	100	80.47585728
2016	YR2016	Slovenia	SVN	7684	81.1756097560976	21678.3594670629	54.02	100	75.49850426
2016	YR2016	Solomon Islands	SLB	-1603	69.801	2196.27090329466	22.823	58.3271942138672	11.00090227
2016	YR2016	Somalia	SOM	124017	55.044	387.186681561763	43.816	51.1132354736328	1.88
2016	YR2016	South Africa	ZAF	-866101	64.747	5735.06678717842	65.341	83.9000015258789	54
2016	YR2016	South Sudan	SSD	-655870	55.544	..	19.092	5.1173677444458	3.5
2016	YR2016	Spain	ESP	89021	83.3292682926829	26537.1594894542	79.84	100	80.56133294
2016	YR2016	Sri Lanka	LKA	-98896	75.331	4150.93440819051	18.311	97.5	15.1
2016	YR2016	St. Kitts and Nevis	KNA	-191	..	21095.2540386708	30.79	100	76.81767491
2016	YR2016	St. Lucia	LCA	0	73.112	10574.3889059563	18.558	97.6397094726563	43.8
2016	YR2016	St. Martin (French part)	MAF	-734	79.475	..	..	100	..
2016	YR2016	St. Vincent and the Grenadines	VCT	-1295	74.28	7684.77920839594	51.373	99.8008422851563	51.5
2016	YR2016	Sudan	SDN	97646	64.78	2614.30029296875	34.121	48.8494033813477	14.09999994
2016	YR2016	Suriname	SUR	-910	71.592	5705.42696732652	66.04	95.8163146972656	45.4
2016	YR2016	Sweden	SWE	79667	82.3073170731707	51965.1571531985	86.852	100	89.65094761
2016	YR2016	Switzerland	CHE	70637	83.6024390243903	82153.0745447889	73.739	100	89.13468774
2016	YR2016	Syrian Arab Republic	SYR	-133823	65.993	664.341672265103	52.835	89.6692352294922	31.86962727
2016	YR2016	Tajikistan	TJK	-16029	69.549	801.391283092365	26.851	99.2083129882813	20.47
2016	YR2016	Tanzania	TZA	124444	65.386	942.472961425781	32.333	32.7999992370605	13.50423285
2016	YR2016	Thailand	THA	76693	78.049	5854.46108800162	48.448	99.8499603271484	47.50496562
2016	YR2016	Timor-Leste	TLS	-5475	67.446	1347.92633571751	29.85	76.5	21.2
2016	YR2016	Togo	TGO	-1988	59.55	787.280181567633	40.628	46.7650108337402	11.31
2016	YR2016	Tonga	TON	-2206	70.661	3978.35695433064	23.222	97.0199966430664	39.95
2016	YR2016	Trinidad and Tobago	TTO	-103	74.281	15991.1087945367	53.25	100	67.8
2016	YR2016	Tunisia	TUN	-23826	75.786	3796.16792006345	68.346	100	49.59999484
2016	YR2016	Turkiye	TUR	375842	76.66	10734.3799728439	74.134	100	58.34773401
2016	YR2016	Turkmenistan	TKM	-9616	68.777	6163.25340597611	50.728	99.9898986816406	17.99032446
2016	YR2016	Turks and Caicos Islands	TCA	1312	76.864	26995.0321602259	92.517	100	..
2016	YR2016	Tuvalu	TUV	-170	64.108	3836.11292595787	60.645	97.3000030517578	31
2016	YR2016	Uganda	UGA	123381	61.648	753.684408569709	22.624	26.7000007629395	6
2016	YR2016	Ukraine	UKR	-54333	71.4763414634146	2187.73046875	69.154	100	53.0009696
2016	YR2016	United Arab Emirates	ARE	-13520	79.335	41054.5395699204	85.965	100	90.60000732
2016	YR2016	United Kingdom	GBR	246940	81.1560975609756	41146.0773555246	82.886	100	94.77580063
2016	YR2016	United States	USA	1449371	78.5390243902439	57866.7449341091	81.862	100	85.54442129
2016	YR2016	Uruguay	URY	-3506	77.571	16766.4252588402	95.144	99.6999969482422	66.4
2016	YR2016	Uzbekistan	UZB	-35209	70.755	2704.67718798168	50.65	100	46.79128694
2016	YR2016	Vanuatu	VUT	-404	69.65	2757.20330593386	25.062	57.8199996948242	24
2016	YR2016	Venezuela, RB	VEN	-283326	72.058	..	88.165	99.4000015258789	60
2016	YR2016	Vietnam	VNM	-4432	73.938	2760.71710527049	34.51	99.1999969482422	53
2016	YR2016	Virgin Islands (U.S.)	VIR	-526	79.1682926829268	35324.9748874586	95.48	100	59.6083158
2016	YR2016	West Bank and Gaza	PSE	-22774	74.554	3527.61382413178	75.628	100	59.9
2016	YR2016	Yemen, Rep.	YEM	-39688	66.064	1069.81712249613	35.394	68.859504699707	24.57920836
2016	YR2016	Zambia	ZMB	17285	61.794	1249.92314348406	42.438	35.4254531860352	10.3
2016	YR2016	Zimbabwe	ZWE	-59918	60.306	1421.78778932994	32.296	42.5617294311523	23.11998904
									
									
									
Data from database: World Development Indicators									
Last Updated: 12/22/2022									
