Country Name,Net migration,"Life expectancy at birth, total (years)",GDP per capita (current US$),Urban population (% of total population),Access to electricity (% of population)
South Africa,-3.9566876959206616,-0.9560415621940735,-0.4213910348608742,0.28982780420935866,0.004252758480250697
Spain,0.38039522897263894,1.4167786675798895,0.5042505206858408,0.9112539901665833,0.6230687384941355
Sri Lanka,-0.4729110627860833,0.39545809954618305,-0.49188099856139494,-1.725874901188824,0.5269792914968949
St. Lucia,-0.02383738116190565,0.11210797205169708,-0.20605319756111448,-1.71528849744157,0.5323491338840232
St. Vincent and the Grenadines,-0.02971780522054614,0.2612530594395115,-0.3346336655772013,-0.3088397566879794,0.6154139566203096
Sudan,0.4195602154635843,-0.9518277027045203,-0.5602574072755245,-1.0482593414961752,-1.3429442785719525
Suriname,-0.027969571040950318,-0.08198494989134751,-0.4227099333652943,0.31978689821474576,0.4622655356340428
Sweden,0.3379199497104589,1.2862829450283224,1.635733379106691,1.2117878487728357,0.6230687384941355
Switzerland,0.2969159116799387,1.451660579097265,2.97902086527439,0.6497655316159919,0.6230687384941355
Syrian Arab Republic,-0.6315099593854165,-0.796936443285499,-0.647025731825986,-0.24617853288844405,0.22599774895146804
Tajikistan,-0.0966229543170782,-0.34286116010821566,-0.6409273638988331,-1.3598510631258751,0.5926396316337567
Tanzania,0.5412463960994515,-0.8744459193509123,-0.634649578963407,-1.1248929038447177,-1.9598156261158635
Thailand,0.32441540828158105,0.7425268902311812,-0.4160782844602712,-0.43420506422124927,0.6173018468173525
Timor-Leste,-0.048698633456157915,-0.611398933033364,-0.6166079089520047,-1.231314120461849,-0.28017206327992533
Togo,-0.03286462674381862,-1.6196605854427617,-0.6415552729343699,-0.7693697496606239,-1.4230595294618622
Tonga,-0.03385453596758976,-0.2008668645814623,-0.49956026742772713,-1.5153897643355285,0.5085299886470678
Trinidad and Tobago,-0.024305090565797518,0.26138075215131673,0.034977409089237424,-0.22839166019568954,0.6230687384941355
Tunisia,-0.1320281021048928,0.45355828341729176,-0.5076672277944688,0.41862190647858166,0.6230687384941355
Turkiye,1.6828115292995305,0.565161713534542,-0.19893399171259835,0.666695205624758,0.6230687384941355
Turkmenistan,-0.06750236783981065,-0.44143993362139455,-0.4023377918261088,-0.33648441424659775,0.6226804864560962
Tuvalu,-0.02460932872172718,-1.0376372050372347,-0.5058897740583652,0.08855755320893663,0.5192922530338034
Uganda,0.5364194534165674,-1.3517612760766367,-0.6430502015467296,-1.5410200049867753,-2.1942738181407826
Ukraine,-0.27055636214886614,-0.0967537020712928,-0.5792387069596633,0.45325273331170346,0.6230687384941355
United Arab Emirates,-0.08522991650771217,0.9067397176119402,1.150237944762434,1.1737710871379605,0.6230687384941355
United Kingdom,1.0974845624988534,1.1392806036337213,1.154311149293856,1.0418053497379813,0.6230687384941355
United States,6.557565011344526,0.8050994334718361,1.8983394049475402,0.9979167771177869,0.6230687384941355
Uruguay,-0.039757664366225,0.6814897739885647,0.0694770696921516,1.5671824231543314,0.6115378875577789
Uzbekistan,-0.18371680253694278,-0.18886374967182737,-0.5562358594974927,-0.3398274891141518,0.6230687384941355
Vanuatu,-0.025671891833481526,-0.3299641962159477,-0.5538985774641918,-1.4365274854086172,-0.9981524229729761
Vietnam,-0.04396250813325287,0.2175821520023265,-0.5537422221046427,-1.0315868270926054,0.5923199981583308
Virgin Islands (U.S.),-0.026225877729353447,0.8854524082171894,0.8952865203464064,1.5815833610453325,0.6230687384941355
West Bank and Gaza,-0.1272511089699972,0.29624086247398157,-0.5196172193008252,0.7307279473186744,0.6230687384941355
"Yemen, Rep.",-0.20405535030424068,-0.7878702607473702,-0.6289830794900125,-0.9936986452603283,-0.573840450555993
Zambia,0.05465152219994834,-1.3331181401531609,-0.6209688080502762,-0.6917932687596944,-1.8589042588863833
Zimbabwe,-0.29591710992300296,-1.5231248953184575,-0.6133212573734703,-1.1264787214100958,-1.5846159236812447
