Country Name,International migrant stock (% of population),"Life expectancy at birth, total (years)",GDP (constant 2015 US$),Urban population (% of total population),Access to electricity (% of population),Individuals using the Internet (% of population)
Grenada,-0.2193788119944017,0.39020395395090113,-0.23891110741918908,-0.9451021106565626,0.3219094419274446,0.17223888686679453
Guatemala,-0.6328586492850058,0.02824189603783889,-0.2009805361333411,-0.34732715619403853,0.2939068834701947,-0.6521026723428547
Guinea,-0.5423099202273239,-1.7093003675317644,-0.23407770278502787,-0.9817197835505028,-1.734306462619302,-1.3342142859471835
Guinea-Bissau,-0.5827667120942246,-1.58566109414153,-0.23887935526676785,-0.6830461945954904,-2.2685633119980726,-1.4420665916220872
Guyana,-0.5292468402592597,-0.45711066409163326,-0.23687611161253508,-1.3538853842248952,0.20238684082968128,-0.4713958405479535
Haiti,-0.6394686938914715,-1.0745607175213348,-0.23033421572561763,-0.24226523490020993,-1.5128081506168332,-1.1602589542134678
Honduras,-0.6409123965752503,0.07600596141193357,-0.22652399049263125,-0.12514001482590115,0.2743100308815093,-0.7114541983404812
Hungary,-0.3570270488300262,0.4592743602245375,-0.16193490562108828,0.530855328431778,0.6386137893148215,0.8797060720210991
Iceland,0.10284191904654917,1.3175349099152889,-0.2286703957394241,1.523296930230158,0.6386137893148215,1.7621906189129561
"Iran, Islamic Rep.",-0.4321982035866601,0.4040107540980991,0.013518036711293407,0.6531138671360786,0.6371592010294944,-0.07703993327455232
Iraq,-0.5988862837535954,-0.3029969219080305,-0.136147509663198,0.5060870660420687,0.6148110320140303,-1.0698021817119354
Ireland,0.4077372273886757,1.1913290461219563,-0.05866058204855156,0.19025963733183388,0.6386137893148215,1.250580740261246
Israel,1.0159375819322392,1.265657018788701,-0.05144561185459987,1.458232116595014,0.6386137893148215,1.0368695870830638
Jamaica,-0.6084645722730447,0.06443810182914636,-0.2307335604624984,-0.13934219636887799,0.45315808316781336,-0.1853707886754129
Kazakhstan,0.6910512000837435,0.011698612978582709,-0.12522856413442718,-0.03847248528954249,0.6386137893148215,0.809956822875791
Kenya,-0.5057263978980968,-1.2418593319175775,-0.19606218688360935,-1.3873802882855906,-1.4850365562540984,-1.0771829377007254
Kiribati,-0.47542649039910384,-0.7235445912565044,-0.2394235807785088,-0.2768295803421535,0.2952726927642372,-1.1359052077707474
Kyrgyz Republic,-0.43257545853676105,-0.1523386720047342,-0.2353894053471597,-0.9545131948115472,0.5909772020662895,-0.6019652241854622
Lao PDR,-0.6422994194400011,-0.6475449976534523,-0.2305863704902433,-1.068686756673611,0.2640657675903103,-1.0210946888264951
Latvia,0.235063106941083,0.3239671120230221,-0.22262902041508323,0.42305563720195416,0.6386137893148215,1.1011806387332312
Lesotho,-0.6435927102811834,-2.5841042002817844,-0.23806635059390693,-1.3339082192231777,-1.8458630912897067,-0.7845154376686417
Liberia,-0.4941571345257786,-1.5831733824032954,-0.23752870998398595,-0.3537865821367778,-2.446434240511549,-1.306381432869789
Lithuania,-0.3460063619588727,0.3042474458053077,-0.21384366230155163,0.39097239576450654,0.6386137893148215,0.8290266903814367
Madagascar,-0.655411314436782,-0.9374878007446364,-0.23251011310134193,-0.9794953454775065,-2.1611887980444555,-1.5090751529454696
Malawi,-0.5801461139108456,-1.305793523590194,-0.2355784505895675,-1.787137476596188,-2.6050438386006696,-1.4455456982567614
Malaysia,-0.10600809702703762,0.40027918649074784,-0.05272228852363503,0.6896887623747684,0.6305706901387835,0.8181026017099431
Mali,-0.5253507485544185,-1.680816068128984,-0.23140562779913776,-0.7742481555883415,-1.6304920555747868,-1.2949003809753636
Malta,0.0023731834237895474,1.246544111531531,-0.23265367801140774,1.553840176078608,0.6386137893148215,0.9884379636958279
Mauritania,-0.4355470774985899,-0.9193275050555275,-0.23570636803522924,-0.2995017376246165,-1.5614006379105905,-1.041969328634541
Mauritius,-0.5131092705400446,0.30813070315279156,-0.23208594071334385,-0.7310855014411619,0.615399470265639,0.0901082594809441
"Micronesia, Fed. Sts.",-0.4866244127340657,-0.05820608686579508,-0.23933295353931716,-1.524354340395867,-0.3090631018395939,-0.5583358875305919
Moldova,-0.4277724630372617,-0.32787403929037184,-0.23472794311718367,-0.6673467951187659,0.6386137893148215,0.7462916371041227
Mongolia,-0.6242200944060768,-0.2957825578671508,-0.2323260853319408,0.4337500510144367,0.21679927776169225,-0.8714929598483956
Montenegro,0.2240735229394416,0.5687943526028862,-0.23701566631787283,0.33005701468860565,0.6386137893148215,0.7156678982626348
Morocco,-0.6469840373231074,0.1298649205447026,-0.17108436092610882,0.11629707140470463,0.5404314382470954,0.33158194812068503
Mozambique,-0.6106579861134033,-1.7071858125542652,-0.2296412934647994,-1.013418026090701,-2.125040697778258,-1.4281501650833899
Myanmar,-0.6551643406130986,-0.7854886135385322,-0.2004479769167078,-1.2077141362358839,-0.7977592664769765,-1.2750694731577201
Namibia,-0.4071424096628107,-1.3901269515163297,-0.23250257602251953,-0.478697335466574,-1.1213978079523774,-0.7605843393622939
Nepal,-0.5419004782371352,-0.5497779263408521,-0.2244281246694756,-1.6911444182153448,0.0031171236387888654,-1.0426088576682162
