Time	Time Code	Country Name	Country Code	International migrant stock (% of population)	Life expectancy at birth, total (years)	GDP (constant 2015 US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2015	YR2015	Palau	PLW	26.6027899112301	..	280457700	78.159	99.3692398071289	..
2015	YR2015	Panama	PAN	4.70102752739085	77.468	54091800000	66.696	92.2947692871094	51.20542499
2015	YR2015	Papua New Guinea	PNG	0.338376608624312	64.701	21723531173.2409	13.012	42.8782196044922	7.9
2015	YR2015	Paraguay	PRY	2.35666668624757	73.191	36211447840.0971	60.75	99.3315353393555	49.71630466
2015	YR2015	Peru	PER	0.289645140800474	75.621	189805300841.603	77.357	93.852180480957	40.85260091
2015	YR2015	Philippines	PHL	0.210390539089137	71.268	306446140628.709	46.284	89.0800018310547	36.9
2015	YR2015	Poland	POL	1.60418083655994	77.4512195121951	477111287969.227	60.278	100	67.99698716
2015	YR2015	Portugal	PRT	8.0895935893659	81.1243902439025	199394066525.44	63.514	100	68.63286148
2015	YR2015	Puerto Rico	PRI	7.46549639203331	79.695	103375500000	93.624	100	63.46633538
2015	YR2015	Qatar	QAT	75.4976278935561	80.064	161739955576.923	98.945	100	92.88482645
2015	YR2015	Romania	ROU	1.16313480315329	74.9121951219512	177882417554.984	53.887	100	55.76315563
2015	YR2015	Russian Federation	RUS	8.11621785991527	71.1834146341463	1363481063446.77	74.05	95.5	70.09924123
2015	YR2015	Rwanda	RWA	3.80308098441419	65.298	8539424910.07969	17.004	22.7999992370605	18
2015	YR2015	Samoa	WSM	2.55087254435175	72.515	824160018.151066	18.914	99.0670852661133	25.40700977
2015	YR2015	San Marino	SMR	14.8422013152513	..	1419394771.21029	96.739	100	..
2015	YR2015	Sao Tome and Principe	STP	1.25772285966461	67.249	316066072.343754	70.174	67.2492980957031	25.82
2015	YR2015	Saudi Arabia	SAU	32.2949424946542	76.918	654269739552.019	83.18	100	69.6162358
2015	YR2015	Senegal	SEN	1.73995141736156	66.879	17774766636.0459	45.862	60.5	21.7
2015	YR2015	Serbia	SRB	9.12262208400769	75.2878048780488	39655958842.5478	55.696	99.9000015258789	65.3170254
2015	YR2015	Seychelles	SYC	13.2589068217392	74.2951219512195	1416001321.92671	55.4	100	54.25961786
2015	YR2015	Sierra Leone	SLE	1.41345729487955	57.189	4218723875.1379	40.829	19.5345363616943	6.344421603
2015	YR2015	Singapore	SGP	45.3917919104027	82.7439024390244	308004146057.608	100	100	83.2
2015	YR2015	Sint Maarten (Dutch part)	SXM	70.4477997160924	77.219512195122	1253072625.69832	100	100	..
2015	YR2015	Slovak Republic	SVK	3.26541789940692	76.5634146341463	88900883130.8374	53.889	100	77.63468203
2015	YR2015	Slovenia	SVN	11.4129640933173	80.7756097560976	43107506024.3254	53.781	100	73.09865997
2015	YR2015	Solomon Islands	SLB	0.442947201036342	69.583	1307908069.79418	22.36	55.0999984741211	10.00046498
2015	YR2015	Somalia	SOM	0.234455883618068	54.857	5335000000	43.245	51.1348609924316	1.76
2015	YR2015	South Africa	ZAF	5.76709044891315	63.95	346709790458.563	64.828	85.3000030517578	51.91911572
